Date,Close,Open,High,Low,Vol.,Change %
"Jul 04, 2012",2264,"2,262.73","2,267.55","2,250.32",14.26M,-0.15%
"Jul 05, 2012",2243,"2,257.88","2,271.09","2,232.77",19.48M,-0.92%
"Jul 06, 2012",2212,"2,233.98","2,245.47","2,211.50",16.39M,-1.40%
"Jul 09, 2012",2194,"2,210.24","2,220.49","2,194.09",16.34M,-0.78%
"Jul 10, 2012",2217,"2,199.01","2,230.20","2,191.23",22.25M,1.02%
"Jul 11, 2012",2216,"2,208.25","2,228.45","2,206.99",17.20M,-0.02%
"Jul 12, 2012",2198,"2,209.26","2,223.16","2,190.90",14.29M,-0.83%
"Jul 13, 2012",2220,"2,203.48","2,223.20","2,197.99",15.31M,1.02%
"Jul 16, 2012",2226,"2,212.54","2,228.53","2,211.12",11.51M,0.27%
"Jul 17, 2012",2230,"2,230.37","2,239.35","2,223.53",14.91M,0.16%
"Jul 18, 2012",2263,"2,232.76","2,264.19","2,229.85",11.96M,1.49%
"Jul 19, 2012",2293,"2,268.66","2,293.62","2,267.35",16.22M,1.33%
"Jul 20, 2012",2250,"2,288.46","2,288.46","2,244.50",20.67M,-1.89%
"Jul 23, 2012",2187,"2,223.71","2,225.56","2,176.50",19.94M,-2.80%
"Jul 24, 2012",2177,"2,192.31","2,193.64","2,174.93",17.32M,-0.47%
"Jul 25, 2012",2179,"2,170.97","2,193.42","2,167.96",15.72M,0.13%
"Jul 26, 2012",2245,"2,184.17","2,246.82","2,174.71",23.65M,3.00%
"Jul 27, 2012",2287,"2,257.45","2,287.37","2,253.49",21.83M,1.90%
"Jul 30, 2012",2316,"2,284.63","2,321.97","2,284.63",20.16M,1.25%
"Jul 31, 2012",2275,"2,296.90","2,301.38","2,268.31",20.71M,-1.77%
"Aug 01, 2012",2289,"2,274.76","2,301.34","2,274.76",13.50M,0.63%
"Aug 02, 2012",2242,"2,285.23","2,306.69","2,241.60",29.00M,-2.08%
"Aug 03, 2012",2304,"2,251.45","2,306.92","2,245.95",22.57M,2.79%
"Aug 06, 2012",2336,"2,307.66","2,344.41","2,301.31",23.97M,1.39%
"Aug 07, 2012",2350,"2,329.45","2,357.72","2,326.60",16.77M,0.59%
"Aug 08, 2012",2340,"2,342.03","2,347.56","2,329.33",11.21M,-0.41%
"Aug 09, 2012",2352,"2,343.57","2,355.91","2,330.86",13.07M,0.49%
"Aug 10, 2012",2344,"2,340.74","2,349.53","2,333.74",8.53M,-0.34%
"Aug 13, 2012",2337,"2,334.18","2,353.85","2,330.22",7.60M,-0.29%
"Aug 14, 2012",2350,"2,343.07","2,360.35","2,339.94",7.93M,0.57%
"Aug 15, 2012",2352,"2,343.87","2,361.99","2,337.85",6.55M,0.05%
"Aug 16, 2012",2370,"2,351.20","2,370.33","2,348.06",9.68M,0.79%
"Aug 17, 2012",2390,"2,377.26","2,389.71","2,373.83",12.11M,0.82%
"Aug 20, 2012",2380,"2,389.65","2,406.34","2,372.60",10.46M,-0.39%
"Aug 21, 2012",2389,"2,384.09","2,398.40","2,384.09",9.66M,0.35%
"Aug 22, 2012",2369,"2,379.13","2,389.67","2,368.22",10.69M,-0.82%
"Aug 23, 2012",2349,"2,383.68","2,385.29","2,341.33",9.73M,-0.87%
"Aug 24, 2012",2351,"2,354.68","2,356.33","2,333.78",9.73M,0.08%
"Aug 27, 2012",2372,"2,354.21","2,372.35","2,345.58",5.86M,0.91%
"Aug 28, 2012",2352,"2,361.68","2,367.30","2,345.85",7.80M,-0.84%
"Aug 29, 2012",2352,"2,349.19","2,357.64","2,343.13",10.12M,-0.01%
"Aug 30, 2012",2328,"2,345.36","2,349.39","2,324.58",9.15M,-1.03%
"Aug 31, 2012",2346,"2,329.12","2,355.87","2,327.64",13.67M,0.78%
"Sep 03, 2012",2366,"2,339.11","2,367.15","2,336.35",7.68M,0.89%
"Sep 04, 2012",2348,"2,363.22","2,368.47","2,345.28",8.87M,-0.78%
"Sep 05, 2012",2346,"2,341.75","2,357.51","2,328.71",11.81M,-0.07%
"Sep 06, 2012",2398,"2,350.98","2,400.45","2,347.92",19.01M,2.20%
"Sep 07, 2012",2417,"2,406.78","2,438.27","2,406.23",19.85M,0.79%
"Sep 10, 2012",2412,"2,407.03","2,421.83","2,406.51",16.33M,-0.20%
"Sep 11, 2012",2418,"2,402.20","2,417.95","2,392.13",15.56M,0.25%
"Sep 12, 2012",2439,"2,420.82","2,445.16","2,413.17",16.76M,0.90%
"Sep 13, 2012",2427,"2,435.50","2,437.75","2,421.54",14.39M,-0.53%
"Sep 14, 2012",2472,"2,456.61","2,478.06","2,454.62",21.15M,1.86%
"Sep 17, 2012",2474,"2,455.66","2,475.37","2,450.26",14.78M,0.12%
"Sep 18, 2012",2449,"2,461.60","2,463.92","2,438.70",16.24M,-1.01%
"Sep 19, 2012",2452,"2,456.33","2,462.22","2,440.55",14.42M,0.11%
"Sep 20, 2012",2459,"2,435.55","2,459.54","2,428.60",16.26M,0.30%
"Sep 21, 2012",2473,"2,466.98","2,476.15","2,457.55",25.16M,0.55%
"Sep 24, 2012",2460,"2,465.11","2,471.68","2,454.59",11.62M,-0.52%
"Sep 25, 2012",2450,"2,443.66","2,454.14","2,441.38",15.01M,-0.40%
"Sep 26, 2012",2406,"2,429.03","2,429.03","2,401.96",19.02M,-1.83%
"Sep 27, 2012",2408,"2,413.01","2,416.81","2,401.53",13.05M,0.10%
"Sep 28, 2012",2373,"2,415.90","2,419.21","2,373.33",16.48M,-1.44%
"Oct 01, 2012",2402,"2,364.12","2,404.60","2,364.12",14.52M,1.23%
"Oct 02, 2012",2407,"2,392.14","2,424.55","2,391.84",12.01M,0.19%
"Oct 03, 2012",2408,"2,399.18","2,413.12","2,397.15",10.57M,0.05%
"Oct 04, 2012",2408,"2,416.70","2,419.60","2,398.49",10.59M,-0.01%
"Oct 05, 2012",2436,"2,414.66","2,437.79","2,411.54",12.89M,1.18%
"Oct 08, 2012",2407,"2,421.52","2,421.52","2,401.09",9.31M,-1.20%
"Oct 09, 2012",2387,"2,411.55","2,412.33","2,383.91",12.20M,-0.84%
"Oct 10, 2012",2363,"2,373.77","2,380.33","2,363.23",12.32M,-0.99%
"Oct 11, 2012",2377,"2,355.82","2,381.62","2,352.82",11.56M,0.58%
"Oct 12, 2012",2367,"2,373.13","2,385.48","2,366.80",12.03M,-0.43%
"Oct 15, 2012",2376,"2,367.57","2,386.19","2,366.99",11.28M,0.41%
"Oct 16, 2012",2400,"2,388.05","2,401.13","2,372.89",19.78M,0.99%
"Oct 17, 2012",2419,"2,408.44","2,420.42","2,407.28",15.35M,0.78%
"Oct 18, 2012",2408,"2,416.69","2,417.56","2,395.51",12.63M,-0.43%
"Oct 19, 2012",2386,"2,399.94","2,404.67","2,381.69",14.39M,-0.91%
"Oct 22, 2012",2377,"2,380.05","2,389.11","2,369.58",11.92M,-0.38%
"Oct 23, 2012",2349,"2,376.70","2,377.23","2,344.28",13.65M,-1.20%
"Oct 24, 2012",2362,"2,350.59","2,369.41","2,338.04",12.44M,0.55%
"Oct 25, 2012",2355,"2,363.95","2,375.53","2,353.38",10.69M,-0.28%
"Oct 26, 2012",2372,"2,353.84","2,378.05","2,349.19",12.58M,0.72%
"Oct 29, 2012",2357,"2,362.22","2,363.61","2,345.56",10.77M,-0.64%
"Oct 30, 2012",2383,"2,357.23","2,383.34","2,355.73",9.30M,1.13%
"Oct 31, 2012",2369,"2,382.29","2,400.18","2,369.21",14.80M,-0.59%
"Nov 01, 2012",2388,"2,367.81","2,392.77","2,358.64",12.82M,0.79%
"Nov 02, 2012",2400,"2,393.49","2,410.44","2,385.00",11.16M,0.52%
"Nov 05, 2012",2377,"2,390.11","2,393.20","2,376.35",9.38M,-0.97%
"Nov 06, 2012",2399,"2,377.38","2,399.39","2,376.61",10.35M,0.93%
"Nov 07, 2012",2364,"2,420.49","2,421.59","2,362.24",16.75M,-1.45%
"Nov 08, 2012",2360,"2,375.15","2,379.94","2,358.15",14.60M,-0.19%
"Nov 09, 2012",2357,"2,363.40","2,365.63","2,335.99",11.95M,-0.13%
"Nov 12, 2012",2355,"2,358.48","2,363.38","2,350.55",7.79M,-0.06%
"Nov 13, 2012",2360,"2,346.16","2,361.62","2,334.69",17.69M,0.19%
"Nov 14, 2012",2339,"2,352.44","2,356.36","2,335.20",14.84M,-0.86%
"Nov 15, 2012",2324,"2,329.12","2,338.91","2,321.54",13.16M,-0.64%
