Date,Close,Open,High,Low,Vol.,Change %
"Dec 20, 2012",4933,"4,915.17","4,941.68","4,873.77",8.81M,0.36%
"Dec 21, 2012",5015,"4,932.96","5,016.15","4,914.50",24.28M,1.67%
"Dec 27, 2012",5128,"5,015.22","5,129.48","5,015.22",14.55M,2.26%
"Dec 28, 2012",5150,"5,128.40","5,157.33","5,103.19",11.75M,0.41%
"Jan 01, 2013",5150,"5,149.56","5,149.56","5,149.56",-,0.00%
"Jan 03, 2013",5328,"5,149.56","5,347.83","5,149.56",24.33M,3.47%
"Jan 04, 2013",5458,"5,328.33","5,459.13","5,328.33",65.06M,2.43%
"Jan 07, 2013",5414,"5,457.86","5,468.43","5,391.56",16.09M,-0.80%
"Jan 08, 2013",5513,"5,414.46","5,518.57","5,388.35",20.61M,1.82%
"Jan 09, 2013",5541,"5,513.19","5,563.58","5,510.53",13.24M,0.51%
"Jan 10, 2013",5568,"5,541.30","5,567.83","5,518.23",24.59M,0.48%
"Jan 11, 2013",5586,"5,567.83","5,605.93","5,527.03",30.77M,0.33%
"Jan 14, 2013",5628,"5,586.31","5,634.87","5,586.31",13.54M,0.75%
"Jan 15, 2013",5594,"5,628.08","5,636.22","5,567.18",23.99M,-0.61%
"Jan 16, 2013",5658,"5,593.88","5,658.12","5,563.34",17.14M,1.15%
"Jan 17, 2013",5665,"5,658.12","5,670.61","5,621.90",9.87M,0.12%
"Jan 18, 2013",5690,"5,664.90","5,693.70","5,633.41",12.93M,0.44%
"Jan 21, 2013",5629,"5,689.89","5,703.59","5,619.37",12.41M,-1.07%
"Jan 22, 2013",5580,"5,629.03","5,629.03","5,531.94",21.12M,-0.87%
"Jan 23, 2013",5604,"5,579.89","5,604.87","5,570.01",7.24M,0.44%
"Jan 24, 2013",5591,"5,604.38","5,612.09","5,573.89",6.51M,-0.25%
"Jan 25, 2013",5602,"5,590.60","5,603.71","5,577.77",15.99M,0.21%
"Jan 28, 2013",5569,"5,602.16","5,607.03","5,560.58",3.00M,-0.60%
"Jan 29, 2013",5526,"5,568.52","5,569.42","5,493.89",14.64M,-0.76%
"Jan 30, 2013",5513,"5,525.97","5,557.96","5,504.18",25.33M,-0.23%
"Jan 31, 2013",5481,"5,513.22","5,517.69","5,471.53",8.91M,-0.58%
"Feb 01, 2013",5589,"5,481.29","5,597.50","5,481.29",15.80M,1.96%
"Feb 04, 2013",5584,"5,588.78","5,613.17","5,582.60",8.61M,-0.09%
"Feb 05, 2013",5608,"5,583.97","5,613.29","5,583.97",11.82M,0.43%
"Feb 06, 2013",5600,"5,607.73","5,607.73","5,584.57",20.62M,-0.15%
"Feb 07, 2013",5587,"5,599.58","5,605.90","5,575.01",14.97M,-0.22%
"Feb 08, 2013",5563,"5,587.07","5,596.17","5,538.24",9.39M,-0.43%
"Feb 11, 2013",5561,"5,562.77","5,571.35","5,548.64",8.78M,-0.03%
"Feb 12, 2013",5501,"5,561.33","5,561.33","5,500.62",17.49M,-1.09%
"Feb 13, 2013",5484,"5,500.62","5,506.81","5,453.06",5.66M,-0.31%
"Feb 14, 2013",5469,"5,483.52","5,519.54","5,469.25",5.99M,-0.26%
"Feb 15, 2013",5482,"5,469.25","5,508.69","5,454.12",19.42M,0.23%
"Feb 18, 2013",5488,"5,481.98","5,506.55","5,466.53",8.49M,0.12%
"Feb 19, 2013",5504,"5,488.45","5,512.07","5,480.59",10.04M,0.28%
"Feb 20, 2013",5560,"5,503.84","5,577.28","5,503.84",11.50M,1.01%
"Feb 21, 2013",5535,"5,559.60","5,559.60","5,513.73",9.71M,-0.43%
"Feb 22, 2013",5570,"5,535.47","5,578.56","5,523.41",23.86M,0.62%
"Feb 25, 2013",5573,"5,569.91","5,585.55","5,555.33",18.67M,0.05%
"Feb 26, 2013",5555,"5,572.60","5,572.60","5,537.36",18.19M,-0.32%
"Feb 27, 2013",5611,"5,554.84","5,612.52","5,554.84",11.28M,1.00%
"Feb 28, 2013",5654,"5,610.56","5,680.01","5,610.56",21.15M,0.78%
"Mar 01, 2013",5625,"5,654.11","5,671.06","5,616.64",13.80M,-0.52%
"Mar 04, 2013",5597,"5,624.71","5,624.71","5,576.97",9.76M,-0.49%
"Mar 05, 2013",5621,"5,597.40","5,622.68","5,586.83",35.55M,0.42%
"Mar 06, 2013",5657,"5,620.88","5,678.02","5,620.22",37.79M,0.64%
"Mar 07, 2013",5663,"5,656.68","5,664.85","5,644.19",13.98M,0.11%
"Mar 08, 2013",5693,"5,662.77","5,704.60","5,656.68",30.52M,0.54%
"Mar 11, 2013",5684,"5,693.39","5,719.84","5,663.27",11.76M,-0.16%
"Mar 12, 2013",5722,"5,684.23","5,721.98","5,684.11",9.96M,0.66%
"Mar 13, 2013",5726,"5,721.82","5,729.89","5,702.04",14.67M,0.08%
"Mar 14, 2013",5759,"5,726.38","5,782.68","5,720.90",24.88M,0.56%
"Mar 15, 2013",5753,"5,758.61","5,765.58","5,742.67",19.20M,-0.09%
"Mar 18, 2013",5682,"5,753.17","5,753.17","5,648.66",15.65M,-1.23%
"Mar 19, 2013",5732,"5,682.49","5,732.01","5,667.46",5.28M,0.87%
"Mar 20, 2013",5747,"5,732.01","5,756.53","5,709.01",28.84M,0.26%
"Mar 21, 2013",5687,"5,747.18","5,749.60","5,685.80",5.42M,-1.05%
"Mar 22, 2013",5656,"5,686.84","5,686.84","5,630.51",9.55M,-0.55%
"Mar 25, 2013",5665,"5,655.83","5,676.93","5,643.59",12.06M,0.16%
"Mar 26, 2013",5737,"5,664.73","5,736.61","5,664.73",19.26M,1.27%
"Mar 27, 2013",5671,"5,736.55","5,738.77","5,642.50",21.93M,-1.14%
"Mar 28, 2013",5679,"5,670.95","5,712.97","5,655.64",45.35M,0.15%
"Mar 29, 2013",5637,"5,679.30","5,706.66","5,633.18",4.93M,-0.74%
"Apr 01, 2013",5636,"5,637.12","5,640.36","5,612.43",3.34M,-0.02%
"Apr 02, 2013",5680,"5,635.98","5,680.23","5,606.67",10.57M,0.79%
"Apr 03, 2013",5687,"5,680.23","5,688.10","5,652.59",10.95M,0.12%
"Apr 04, 2013",5659,"5,687.20","5,687.45","5,638.77",11.09M,-0.49%
"Apr 05, 2013",5604,"5,659.19","5,659.19","5,590.12",15.20M,-0.97%
"Apr 08, 2013",5562,"5,604.25","5,604.25","5,539.05",9.44M,-0.75%
"Apr 09, 2013",5540,"5,562.28","5,562.28","5,525.45",8.38M,-0.40%
"Apr 10, 2013",5458,"5,539.78","5,539.78","5,445.43",8.90M,-1.47%
"Apr 11, 2013",5462,"5,458.15","5,534.46","5,440.89",24.31M,0.08%
"Apr 12, 2013",5466,"5,462.44","5,481.08","5,436.53",33.58M,0.07%
"Apr 15, 2013",5394,"5,466.19","5,470.77","5,371.23",11.34M,-1.33%
"Apr 16, 2013",5449,"5,393.73","5,450.12","5,352.42",15.66M,1.03%
"Apr 17, 2013",5417,"5,449.23","5,465.10","5,395.69",10.16M,-0.59%
"Apr 18, 2013",5371,"5,417.30","5,417.30","5,370.76",12.18M,-0.86%
"Apr 19, 2013",5365,"5,370.76","5,383.37","5,354.41",19.37M,-0.12%
"Apr 22, 2013",5360,"5,364.50","5,371.14","5,350.15",9.42M,-0.08%
"Apr 23, 2013",5308,"5,359.99","5,363.45","5,307.58",12.04M,-0.96%
"Apr 24, 2013",5345,"5,308.28","5,354.04","5,226.40",15.70M,0.69%
"Apr 25, 2013",5312,"5,345.12","5,351.81","5,304.58",12.58M,-0.61%
"Apr 26, 2013",5320,"5,312.49","5,331.00","5,302.67",7.16M,0.15%
"Apr 29, 2013",5340,"5,320.28","5,339.52","5,308.36",19.19M,0.36%
"Apr 30, 2013",5338,"5,339.52","5,342.22","5,294.53",15.34M,-0.04%
"May 02, 2013",5346,"5,337.55","5,346.11","5,302.35",17.72M,0.16%
"May 03, 2013",5345,"5,346.11","5,364.83","5,341.22",8.66M,-0.02%
"May 07, 2013",5310,"5,344.92","5,368.55","5,299.92",22.96M,-0.66%
"May 08, 2013",5310,"5,309.75","5,318.02","5,287.84",14.38M,0.01%
"May 09, 2013",5339,"5,310.26","5,358.91","5,299.36",20.27M,0.55%
"May 10, 2013",5295,"5,339.46","5,339.46","5,269.00",13.37M,-0.83%
