Date,Close,Open,High,Low,Vol.,Change %
"May 03, 2012",6098,"6,124.63","6,149.36","6,086.82",55.15M,-0.18%
"May 04, 2012",6057,"6,090.68","6,117.59","6,044.86",52.70M,-0.67%
"May 07, 2012",6040,"5,984.78","6,040.37","5,984.75",40.78M,-0.27%
"May 08, 2012",5978,"6,026.77","6,032.15","5,967.59",51.04M,-1.03%
"May 09, 2012",5936,"5,977.70","5,979.26","5,893.11",62.60M,-0.70%
"May 10, 2012",5927,"5,950.13","5,950.13","5,889.51",58.39M,-0.16%
"May 11, 2012",5955,"5,889.62","5,955.86","5,882.03",53.09M,0.48%
"May 14, 2012",5876,"5,908.27","5,911.98","5,858.22",49.06M,-1.33%
"May 15, 2012",5865,"5,885.11","5,901.18","5,848.18",45.20M,-0.18%
"May 16, 2012",5873,"5,850.44","5,900.65","5,845.06",60.66M,0.13%
"May 18, 2012",5798,"5,769.22","5,839.36","5,766.42",86.17M,-1.28%
"May 21, 2012",5815,"5,785.97","5,836.82","5,767.05",42.27M,0.29%
"May 22, 2012",5910,"5,844.45","5,911.86","5,835.40",51.90M,1.64%
"May 23, 2012",5818,"5,871.61","5,906.22","5,817.02",47.66M,-1.56%
"May 24, 2012",5852,"5,849.40","5,877.29","5,808.83",45.26M,0.59%
"May 25, 2012",5865,"5,863.30","5,899.74","5,841.25",41.19M,0.22%
"May 29, 2012",5915,"5,905.49","5,929.72","5,879.83",37.23M,0.84%
"May 30, 2012",5903,"5,898.29","5,944.44","5,887.39",48.82M,-0.20%
"May 31, 2012",5850,"5,912.28","5,921.85","5,832.37",60.04M,-0.89%
"Jun 01, 2012",5777,"5,866.20","5,866.20","5,752.37",57.71M,-1.24%
"Jun 04, 2012",5713,"5,749.58","5,755.07","5,713.34",29.98M,-1.11%
"Jun 05, 2012",5715,"5,734.22","5,745.74","5,712.13",27.25M,0.02%
"Jun 06, 2012",5823,"5,742.12","5,822.63","5,733.49",45.16M,1.89%
"Jun 07, 2012",5869,"5,830.57","5,887.52","5,814.89",51.53M,0.80%
"Jun 08, 2012",5869,"5,844.58","5,878.02","5,830.34",34.53M,0.00%
"Jun 11, 2012",5871,"5,948.94","5,956.17","5,869.89",44.13M,0.03%
"Jun 12, 2012",5920,"5,877.05","5,929.43","5,872.02",47.75M,0.83%
"Jun 13, 2012",5945,"5,926.71","5,945.10","5,901.42",68.66M,0.42%
"Jun 14, 2012",5909,"5,947.76","5,952.49","5,882.78",78.58M,-0.61%
"Jun 15, 2012",5912,"5,903.68","5,927.20","5,903.61",141.20M,0.06%
"Jun 18, 2012",5939,"5,951.82","5,961.29","5,918.66",40.56M,0.46%
"Jun 19, 2012",6034,"5,928.25","6,039.14","5,924.43",43.84M,1.61%
"Jun 20, 2012",6018,"6,030.23","6,041.71","5,994.44",34.84M,-0.27%
"Jun 21, 2012",6012,"6,011.34","6,039.51","6,004.75",35.22M,-0.10%
"Jun 22, 2012",5989,"5,977.77","6,011.76","5,970.82",29.30M,-0.38%
"Jun 25, 2012",5944,"5,974.54","5,976.41","5,913.36",39.80M,-0.75%
"Jun 26, 2012",5958,"5,938.66","5,964.89","5,918.23",38.68M,0.22%
"Jun 27, 2012",5997,"5,975.97","6,005.36","5,960.39",42.28M,0.65%
"Jun 28, 2012",5987,"6,005.02","6,009.89","5,954.66",43.29M,-0.16%
"Jun 29, 2012",6067,"6,062.58","6,074.37","6,028.62",48.75M,1.34%
"Jul 02, 2012",6109,"6,082.81","6,114.01","6,078.73",34.32M,0.70%
"Jul 03, 2012",6194,"6,135.88","6,194.08","6,133.81",38.29M,1.39%
"Jul 04, 2012",6201,"6,190.74","6,203.60","6,171.35",24.20M,0.12%
"Jul 05, 2012",6202,"6,207.37","6,236.72","6,182.30",38.34M,0.02%
"Jul 06, 2012",6184,"6,199.33","6,222.74","6,179.13",33.37M,-0.30%
"Jul 09, 2012",6161,"6,184.54","6,190.48","6,155.42",33.61M,-0.37%
"Jul 10, 2012",6191,"6,172.54","6,207.25","6,154.35",33.51M,0.49%
"Jul 11, 2012",6175,"6,168.92","6,194.20","6,158.63",28.72M,-0.27%
"Jul 12, 2012",6148,"6,153.81","6,170.87","6,117.79",31.08M,-0.44%
"Jul 13, 2012",6182,"6,162.73","6,186.63","6,151.06",26.95M,0.56%
"Jul 16, 2012",6196,"6,182.46","6,203.03","6,175.22",24.41M,0.22%
"Jul 17, 2012",6202,"6,208.35","6,227.36","6,190.92",31.16M,0.11%
"Jul 18, 2012",6266,"6,227.31","6,265.91","6,216.74",65.24M,1.02%
"Jul 19, 2012",6324,"6,288.47","6,334.71","6,287.20",61.35M,0.93%
"Jul 20, 2012",6285,"6,329.78","6,336.30","6,274.16",67.82M,-0.61%
"Jul 23, 2012",6180,"6,247.38","6,260.74","6,171.99",61.86M,-1.66%
"Jul 24, 2012",6175,"6,205.39","6,211.70","6,165.89",42.55M,-0.09%
"Jul 25, 2012",6181,"6,168.65","6,199.41","6,166.45",50.84M,0.10%
"Jul 26, 2012",6278,"6,197.28","6,295.56","6,189.62",90.57M,1.57%
"Jul 27, 2012",6363,"6,291.73","6,365.87","6,270.90",63.41M,1.36%
"Jul 30, 2012",6402,"6,375.79","6,417.91","6,372.63",44.53M,0.62%
"Jul 31, 2012",6399,"6,399.37","6,417.20","6,382.35",55.17M,-0.05%
"Aug 02, 2012",6407,"6,429.52","6,486.52","6,400.85",69.12M,0.13%
"Aug 03, 2012",6462,"6,420.08","6,469.19","6,415.59",42.52M,0.85%
"Aug 06, 2012",6463,"6,457.39","6,486.22","6,427.62",38.63M,0.02%
"Aug 07, 2012",6458,"6,447.34","6,477.52","6,428.04",34.09M,-0.08%
"Aug 08, 2012",6458,"6,460.41","6,469.27","6,426.64",32.94M,0.00%
"Aug 09, 2012",6505,"6,478.02","6,524.55","6,475.99",37.20M,0.73%
"Aug 10, 2012",6483,"6,484.26","6,496.66","6,467.89",31.79M,-0.34%
"Aug 13, 2012",6466,"6,471.33","6,493.67","6,455.78",22.98M,-0.27%
"Aug 14, 2012",6506,"6,487.98","6,509.71","6,479.41",26.59M,0.62%
"Aug 15, 2012",6512,"6,499.63","6,539.82","6,496.39",24.25M,0.09%
"Aug 16, 2012",6518,"6,520.04","6,528.71","6,469.12",34.08M,0.10%
"Aug 17, 2012",6529,"6,553.82","6,554.12","6,519.69",46.00M,0.17%
"Aug 20, 2012",6506,"6,526.88","6,532.55","6,498.21",27.42M,-0.35%
"Aug 21, 2012",6518,"6,512.30","6,534.00","6,496.45",39.95M,0.19%
"Aug 22, 2012",6475,"6,487.67","6,497.26","6,467.56",43.97M,-0.66%
"Aug 23, 2012",6454,"6,502.39","6,513.39","6,435.57",39.76M,-0.33%
"Aug 24, 2012",6476,"6,451.86","6,483.68","6,443.11",28.27M,0.34%
"Aug 27, 2012",6491,"6,481.26","6,493.38","6,452.44",20.17M,0.24%
"Aug 28, 2012",6421,"6,473.20","6,473.20","6,420.91",29.95M,-1.08%
"Aug 29, 2012",6422,"6,424.95","6,437.08","6,414.81",24.81M,0.01%
"Aug 30, 2012",6378,"6,406.67","6,413.42","6,368.72",31.89M,-0.68%
"Aug 31, 2012",6388,"6,370.52","6,432.93","6,355.96",44.44M,0.15%
"Sep 03, 2012",6438,"6,376.55","6,438.93","6,375.69",20.37M,0.78%
"Sep 04, 2012",6363,"6,438.75","6,439.17","6,355.83",29.28M,-1.16%
"Sep 05, 2012",6425,"6,370.18","6,435.63","6,362.36",40.32M,0.98%
"Sep 06, 2012",6528,"6,442.95","6,532.59","6,442.95",54.64M,1.60%
"Sep 07, 2012",6537,"6,540.45","6,561.56","6,523.61",70.31M,0.14%
"Sep 10, 2012",6508,"6,533.22","6,547.77","6,505.90",39.61M,-0.45%
"Sep 11, 2012",6503,"6,476.89","6,505.62","6,470.43",39.15M,-0.07%
"Sep 12, 2012",6490,"6,497.33","6,531.94","6,478.17",60.19M,-0.21%
"Sep 13, 2012",6513,"6,488.37","6,520.21","6,478.01",39.99M,0.36%
"Sep 14, 2012",6559,"6,574.15","6,581.04","6,543.74",69.93M,0.71%
"Sep 17, 2012",6552,"6,537.63","6,576.24","6,537.60",40.88M,-0.10%
"Sep 18, 2012",6537,"6,531.06","6,549.47","6,521.13",44.32M,-0.23%
"Sep 19, 2012",6571,"6,551.24","6,570.72","6,536.94",37.50M,0.51%
"Sep 20, 2012",6556,"6,539.03","6,567.06","6,530.75",39.97M,-0.22%
"Sep 21, 2012",6606,"6,596.99","6,607.07","6,567.34",88.78M,0.75%
"Sep 24, 2012",6597,"6,600.24","6,610.67","6,573.09",33.40M,-0.13%
"Sep 25, 2012",6613,"6,598.87","6,620.10","6,582.00",30.96M,0.25%
"Sep 26, 2012",6540,"6,584.13","6,585.08","6,529.26",43.83M,-1.10%
"Sep 27, 2012",6546,"6,561.29","6,571.98","6,541.95",35.12M,0.08%
"Sep 28, 2012",6496,"6,570.29","6,570.29","6,495.88",45.10M,-0.76%
"Oct 01, 2012",6611,"6,501.40","6,610.99","6,501.40",34.48M,1.77%
"Oct 02, 2012",6614,"6,583.05","6,638.12","6,576.50",35.76M,0.04%
"Oct 03, 2012",6604,"6,598.36","6,615.03","6,589.61",31.39M,-0.14%
"Oct 04, 2012",6631,"6,625.20","6,636.26","6,599.55",34.08M,0.41%
"Oct 05, 2012",6675,"6,652.21","6,680.48","6,629.31",32.83M,0.66%
"Oct 08, 2012",6656,"6,640.81","6,665.86","6,631.99",25.96M,-0.29%
"Oct 09, 2012",6649,"6,684.34","6,688.55","6,649.10",29.85M,-0.10%
"Oct 10, 2012",6629,"6,647.52","6,650.55","6,624.59",26.45M,-0.30%
"Oct 11, 2012",6654,"6,610.92","6,671.43","6,608.93",40.25M,0.38%
"Oct 12, 2012",6655,"6,643.53","6,673.37","6,632.11",35.28M,0.02%
"Oct 15, 2012",6704,"6,668.32","6,709.13","6,667.12",28.92M,0.74%
"Oct 16, 2012",6774,"6,730.34","6,777.77","6,723.34",44.16M,1.04%
